time,q1,q2,q3,q4,q5,q6,qv1,qv2,qv3,qv4,qv5,qv6,tau1,tau2,tau3,tau4,tau5,tau6,q_des1,q_des2,q_des3,q_des4,q_des5,q_des6,qv_des1,qv_des2,qv_des3,qv_des4,qv_des5,qv_des6
0.000002,-0.001335,-1.576066,0.992790,-0.004005,0.006676,0.004387,-0.004396,-0.004396,-0.004396,-0.021978,-0.021978,-0.021978,-0.007326,2.879121,1.794872,-0.007326,-0.012210,0.007326,0.000000,-1.570796,0.994838,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000
0.005287,-0.001335,-1.576066,0.992790,-0.004005,0.006676,0.004387,-0.004396,-0.004396,-0.004396,-0.021978,-0.007326,-0.007326,0.021978,2.857143,1.809524,-0.009768,-0.012210,0.007326,-0.000000,-1.570796,0.994838,0.000000,0.000000,0.000000,-0.000015,0.000008,-0.000005,0.000002,0.000028,0.000015
0.010511,-0.001335,-1.576066,0.992790,-0.003624,0.006676,0.004387,-0.004396,-0.004396,-0.004396,-0.007326,-0.007326,-0.007326,0.017094,2.869353,1.833944,-0.008954,-0.010582,0.007326,-0.000000,-1.570796,0.994838,0.000000,0.000000,0.000000,-0.000061,0.000031,-0.000022,0.000007,0.000111,0.000061
0.015766,-0.001335,-1.575685,0.992790,-0.003624,0.006676,0.004387,-0.004396,0.004396,-0.004396,-0.007326,-0.007326,0.007326,0.036630,2.919414,1.831502,-0.007326,-0.010989,0.007326,-0.000001,-1.570796,0.994837,0.000000,0.000001,0.000001,-0.000137,0.000069,-0.000050,0.000015,0.000250,0.000136
0.020897,-0.001335,-1.575685,0.992790,-0.004005,0.006676,0.004387,-0.004396,0.004396,-0.004396,-0.021978,-0.021978,0.007326,0.042491,2.975824,1.862271,-0.006349,-0.011233,0.007326,-0.000002,-1.570795,0.994837,0.000000,0.000003,0.000002,-0.000244,0.000123,-0.000089,0.000025,0.000444,0.000243
0.026010,-0.001335,-1.575685,0.993172,-0.003624,0.006676,0.004387,-0.004396,0.004396,-0.004396,0.007326,0.007326,-0.007326,0.039072,3.006105,1.892552,-0.006512,-0.012210,0.007326,-0.000003,-1.570795,0.994836,0.000000,0.000006,0.000003,-0.000380,0.000193,-0.000139,0.000039,0.000693,0.000379
0.031128,-0.001335,-1.575685,0.993172,-0.003624,0.006676,0.004387,-0.004396,0.004396,0.004396,-0.007326,-0.007326,-0.021978,0.028257,3.050759,1.920460,-0.005931,-0.013605,0.006628,-0.000006,-1.570793,0.994836,0.000001,0.000010,0.000006,-0.000547,0.000278,-0.000201,0.000055,0.000996,0.000546
0.036294,-0.001335,-1.575685,0.993172,-0.004005,0.006676,0.004387,-0.004396,0.004396,0.004396,-0.021978,-0.007326,-0.021978,0.025641,3.093407,1.943223,-0.005495,-0.014652,0.006716,-0.000009,-1.570792,0.994834,0.000001,0.000017,0.000009,-0.000745,0.000380,-0.000274,0.000074,0.001353,0.000744
0.041449,-0.001335,-1.575685,0.993172,-0.003624,0.006676,0.004387,-0.004396,0.004396,0.004396,-0.007326,-0.007326,-0.007326,0.021978,3.129833,1.943020,-0.004613,-0.016009,0.006241,-0.000013,-1.570789,0.994833,0.000001,0.000025,0.000013,-0.000972,0.000497,-0.000358,0.000095,0.001765,0.000972
0.046615,-0.001335,-1.575685,0.993172,-0.003624,0.006676,0.004387,-0.004396,0.004396,0.004396,-0.007326,-0.021978,0.007326,0.016117,3.166300,1.951648,-0.003419,-0.017582,0.005861,-0.000019,-1.570787,0.994831,0.000002,0.000035,0.000019,-0.001229,0.000630,-0.000455,0.000119,0.002230,0.001231
0.051762,-0.001335,-1.575303,0.993172,-0.003624,0.006676,0.004387,-0.004396,0.013187,0.004396,-0.007326,-0.007326,-0.007326,0.017582,3.226374,1.960440,-0.000977,-0.020513,0.004884,-0.000026,-1.570783,0.994828,0.000003,0.000047,0.000026,-0.001517,0.000779,-0.000563,0.000144,0.002748,0.001521
0.056882,-0.001335,-1.575303,0.993172,-0.003624,0.006676,0.004387,-0.004396,0.013187,0.004396,-0.021978,-0.021978,-0.021978,0.010256,3.299634,1.980952,0.001465,-0.023443,0.003419,-0.000035,-1.570779,0.994825,0.000003,0.000063,0.000035,-0.001834,0.000944,-0.000683,0.000171,0.003319,0.001841
0.062054,-0.001335,-1.575303,0.993172,-0.003624,0.006676,0.004387,-0.004396,0.013187,0.004396,0.007326,-0.007326,-0.007326,0.005861,3.355311,1.980952,0.003419,-0.027839,0.001954,-0.000045,-1.570773,0.994821,0.000004,0.000081,0.000045,-0.002181,0.001125,-0.000815,0.000200,0.003943,0.002192
0.067204,-0.001335,-1.575303,0.993553,-0.003624,0.006676,0.004387,-0.004396,0.013187,0.004396,-0.007326,-0.036630,-0.007326,0.000000,3.397802,1.998535,0.005861,-0.032234,0.000488,-0.000057,-1.570767,0.994817,0.000005,0.000103,0.000057,-0.002558,0.001322,-0.000958,0.000231,0.004619,0.002574
0.072289,-0.001335,-1.575303,0.993553,-0.003624,0.006676,0.004387,-0.004396,0.021978,0.004396,0.021978,-0.007326,-0.007326,0.001465,3.416850,1.989744,0.008303,-0.037118,-0.001465,-0.000071,-1.570760,0.994811,0.000007,0.000128,0.000071,-0.002964,0.001536,-0.001114,0.000263,0.005347,0.002986
0.077472,-0.001335,-1.574922,0.993553,-0.003624,0.006294,0.004005,-0.004396,0.021978,0.004396,-0.007326,-0.007326,-0.007326,-0.001465,3.446154,1.982418,0.012210,-0.041514,-0.003419,-0.000087,-1.570752,0.994805,0.000008,0.000157,0.000087,-0.003400,0.001766,-0.001282,0.000296,0.006127,0.003430
0.082622,-0.001335,-1.574922,0.993553,-0.003624,0.006294,0.004005,-0.004396,0.021978,0.004396,0.007326,-0.007326,-0.021978,0.002930,3.456410,1.972161,0.015629,-0.045421,-0.004884,-0.000105,-1.570742,0.994798,0.000010,0.000190,0.000106,-0.003866,0.002013,-0.001462,0.000331,0.006959,0.003904
0.087711,-0.001335,-1.574922,0.993553,-0.003624,0.006294,0.004005,-0.004396,0.021978,0.004396,0.021978,-0.021978,-0.007326,0.000000,3.454945,1.960440,0.019536,-0.050794,-0.007326,-0.000126,-1.570731,0.994790,0.000011,0.000228,0.000127,-0.004360,0.002276,-0.001655,0.000367,0.007842,0.004409
0.092821,-0.001335,-1.574540,0.993553,-0.003624,0.005913,0.004005,-0.004396,0.013187,0.004396,0.007326,-0.021978,-0.021978,-0.002930,3.450549,1.963370,0.023932,-0.055189,-0.009280,-0.000149,-1.570719,0.994782,0.000013,0.000270,0.000151,-0.004885,0.002555,-0.001859,0.000404,0.008775,0.004944
0.097966,-0.001335,-1.574540,0.993553,-0.003624,0.005913,0.004005,-0.004396,0.013187,0.004396,-0.021978,-0.021978,0.007326,0.008791,3.440293,1.956044,0.028816,-0.059585,-0.011722,-0.000176,-1.570705,0.994772,0.000015,0.000317,0.000177,-0.005438,0.002852,-0.002077,0.000441,0.009760,0.005511
0.103054,-0.001335,-1.574540,0.993553,-0.003624,0.005913,0.004005,-0.004396,0.013187,0.004396,0.007326,-0.036630,-0.036630,0.011722,3.440293,1.963370,0.032234,-0.063004,-0.013675,-0.000204,-1.570690,0.994761,0.000018,0.000369,0.000206,-0.006021,0.003165,-0.002306,0.000480,0.010794,0.006109
0.108165,-0.001335,-1.574159,0.993553,-0.003624,0.005913,0.004005,-0.004396,0.013187,0.004396,-0.007326,-0.021978,-0.007326,0.011722,3.427106,1.956044,0.036142,-0.065934,-0.015140,-0.000236,-1.570673,0.994748,0.000020,0.000426,0.000239,-0.006632,0.003495,-0.002548,0.000518,0.011878,0.006737
0.113278,-0.001335,-1.574159,0.993935,-0.003624,0.005531,0.004005,-0.004396,0.021978,0.004396,-0.007326,-0.021978,-0.007326,0.013187,3.416850,1.969231,0.040537,-0.068376,-0.016606,-0.000271,-1.570655,0.994735,0.000023,0.000488,0.000274,-0.007273,0.003841,-0.002803,0.000558,0.013012,0.007397
0.118411,-0.001335,-1.574159,0.993935,-0.003624,0.005531,0.004005,-0.004396,0.021978,-0.004396,-0.007326,0.007326,-0.007326,0.010256,3.393407,1.967766,0.044444,-0.070330,-0.018071,-0.000310,-1.570634,0.994720,0.000026,0.000557,0.000313,-0.007942,0.004205,-0.003070,0.000597,0.014196,0.008087
0.123526,-0.001335,-1.573777,0.993935,-0.003624,0.005150,0.003624,-0.004396,0.021978,-0.004396,0.007326,-0.051282,-0.021978,0.000000,3.374359,1.967766,0.049328,-0.071795,-0.019536,-0.000352,-1.570612,0.994704,0.000029,0.000632,0.000356,-0.008640,0.004585,-0.003350,0.000637,0.015428,0.008809
0.128641,-0.001335,-1.573777,0.993935,-0.003243,0.005150,0.004005,-0.004396,0.021978,-0.004396,0.007326,-0.036630,-0.007326,0.008791,3.349450,1.963370,0.053236,-0.072283,-0.021001,-0.000397,-1.570588,0.994686,0.000032,0.000713,0.000402,-0.009367,0.004983,-0.003642,0.000677,0.016709,0.009561
0.133788,-0.001335,-1.573777,0.993935,-0.003243,0.005150,0.003624,-0.004396,0.013187,-0.004396,0.007326,-0.036630,-0.021978,0.016117,3.337729,1.950183,0.057631,-0.072772,-0.022466,-0.000446,-1.570562,0.994667,0.000036,0.000800,0.000452,-0.010122,0.005398,-0.003948,0.000717,0.018038,0.010344
0.138941,-0.001335,-1.573777,0.993935,-0.003243,0.005150,0.003624,-0.004396,0.013187,-0.004396,0.007326,-0.007326,-0.021978,0.017582,3.330403,1.954579,0.062027,-0.072772,-0.023932,-0.000499,-1.570534,0.994646,0.000040,0.000895,0.000507,-0.010906,0.005830,-0.004266,0.000757,0.019416,0.011158
